,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,Agency_size,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
313,36,male,united states of america,Washington,yes,no,yes,never,Small,no,yes,no,yes,no,no,not sure,somewhat easy,not sure,no,yes,yes,no,no,yes,no
314,26,male,united states of america,California,no,yes,yes,sometimes,Big,no,yes,yes,not sure,no,not sure,not sure,not sure,yes,no,no,no,no,no,no,no
315,27,male,united states of america,California,no,yes,no,NA,Big,no,yes,not sure,no,not sure,not sure,not sure,very easy,no,no,yes,yes,not sure,not sure,yes,no
316,30,male,united states of america,Vermont,no,no,no,NA,Small,no,no,not sure,not sure,no,not sure,not sure,not sure,not sure,not sure,yes,yes,no,no,not sure,no
317,29,male,united states of america,New York,no,no,no,NA,Medium,no,no,not sure,not sure,no,not sure,not sure,not sure,not sure,no,no,no,no,not sure,not sure,no
318,25,male,united states of america,Utah,no,no,no,never,Big,no,no,yes,yes,yes,yes,yes,very easy,no,no,yes,yes,not sure,not sure,yes,no
319,22,female,united states of america,New York,no,yes,yes,often,Big,no,yes,yes,yes,yes,yes,yes,somewhat easy,not sure,no,no,yes,no,no,yes,yes
320,29,male,latvia,New York,no,no,no,NA,Small,no,yes,no,yes,no,no,not sure,somewhat easy,not sure,not sure,yes,yes,no,no,not sure,no
321,41,male,united states of america,South Dakota,no,yes,yes,rarely,Medium,yes,yes,yes,yes,not sure,yes,yes,somewhat easy,no,no,yes,yes,not sure,not sure,yes,no
322,29,male,united states of america,California,no,no,yes,sometimes,Big,no,yes,yes,no,no,not sure,not sure,not sure,yes,no,yes,yes,no,not sure,no,no
323,32,male,united states of america,Oregon,no,no,no,never,Medium,no,yes,yes,not sure,not sure,yes,yes,somewhat easy,no,no,yes,yes,not sure,not sure,yes,no
324,24,female,united states of america,California,no,yes,yes,sometimes,Big,no,yes,yes,yes,no,yes,yes,not sure,not sure,no,yes,no,no,not sure,not sure,no
325,25,male,united states of america,California,no,no,yes,rarely,Small,no,yes,yes,no,not sure,no,not sure,not sure,not sure,no,no,no,no,no,not sure,no
326,25,male,united states of america,California,no,no,no,NA,Big,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,not sure,not sure,no
327,30,female,united states of america,Colorado,no,no,no,never,Big,no,yes,yes,yes,yes,yes,yes,somewhat easy,not sure,not sure,no,yes,no,no,not sure,no
328,25,male,united states of america,California,no,yes,yes,sometimes,Big,no,yes,not sure,not sure,not sure,yes,not sure,not sure,no,no,yes,yes,no,no,yes,no
329,30,male,united states of america,Ohio,yes,no,no,never,Small,yes,yes,no,yes,no,no,not sure,not sure,not sure,no,yes,yes,no,not sure,not sure,no
330,33,male,germany,NA,yes,yes,yes,rarely,Small,no,no,no,no,no,no,not sure,somewhat difficult,yes,yes,no,no,not sure,no,yes,yes
331,24,male,united states of america,Washington,no,no,no,NA,Small,no,yes,yes,not sure,yes,yes,yes,very easy,no,no,yes,yes,no,not sure,yes,no
332,25,male,canada,NA,no,yes,yes,sometimes,Big,no,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,yes,no,no,no,no,no
333,31,male,united states of america,Ohio,no,no,no,NA,Medium,no,no,not sure,no,no,no,yes,somewhat easy,not sure,no,no,no,no,yes,no,no
334,45,male,ireland,NA,yes,no,yes,often,Small,no,yes,no,no,no,no,not sure,very difficult,no,no,no,no,no,no,not sure,no
335,29,male,romania,NA,no,no,no,NA,Small,yes,no,no,yes,no,no,not sure,not sure,not sure,not sure,yes,yes,not sure,not sure,no,no
336,46,male,united states of america,Washington,no,no,no,never,Small,no,yes,yes,not sure,yes,not sure,not sure,very easy,no,no,yes,yes,not sure,not sure,not sure,no
337,30,male,united kingdom,NA,no,no,yes,sometimes,Small,no,yes,not sure,no,no,not sure,not sure,not sure,yes,not sure,no,no,no,not sure,not sure,no
338,29,female,united states of america,California,yes,no,no,sometimes,Big,no,yes,yes,not sure,not sure,no,not sure,very easy,not sure,not sure,yes,yes,no,no,not sure,no
339,24,male,united states of america,Massachusetts,no,no,no,NA,Big,no,yes,yes,yes,not sure,not sure,yes,not sure,yes,no,no,no,no,not sure,not sure,no
340,29,male,united states of america,Washington,no,no,no,NA,Small,no,yes,yes,yes,yes,yes,yes,very easy,no,no,yes,yes,no,not sure,yes,no
341,35,male,united states of america,Michigan,no,no,no,NA,Small,no,no,not sure,not sure,no,not sure,not sure,not sure,no,no,yes,yes,no,no,no,no
342,33,female,united states of america,Washington,no,yes,no,sometimes,Small,yes,yes,no,yes,no,no,not sure,very difficult,yes,not sure,yes,yes,no,not sure,no,no
343,27,male,united states of america,California,no,no,no,sometimes,Big,no,yes,not sure,not sure,not sure,not sure,not sure,very easy,yes,no,no,no,no,not sure,no,no
344,36,male,united states of america,Iowa,no,no,no,NA,Big,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
345,33,male,united kingdom,NA,no,no,no,rarely,Small,yes,yes,not sure,no,no,no,not sure,not sure,yes,not sure,no,no,no,not sure,no,no
346,25,female,united states of america,Washington,no,yes,yes,sometimes,Small,no,yes,yes,yes,no,no,yes,not sure,no,no,yes,yes,no,no,not sure,no
347,23,male,united states of america,Alabama,no,yes,yes,sometimes,Medium,no,no,not sure,no,no,no,not sure,not sure,no,no,yes,yes,not sure,yes,not sure,no
348,54,male,united states of america,California,no,yes,yes,never,Big,no,yes,not sure,no,yes,yes,not sure,not sure,no,no,no,yes,no,no,not sure,no
349,22,male,united states of america,California,no,no,no,sometimes,Big,no,yes,not sure,no,not sure,not sure,not sure,not sure,not sure,no,yes,no,no,not sure,not sure,no
350,25,non-binary,united states of america,California,no,yes,yes,sometimes,Big,no,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,yes,yes,no,no,yes,no
351,29,male,belgium,NA,no,no,no,often,Small,no,no,not sure,no,no,no,not sure,not sure,not sure,no,yes,yes,not sure,not sure,not sure,no
352,27,male,united states of america,Massachusetts,no,no,yes,sometimes,Big,no,yes,yes,yes,yes,yes,yes,not sure,no,no,no,no,no,yes,yes,no
353,30,male,united kingdom,NA,no,no,no,never,Small,no,yes,no,no,no,not sure,not sure,very easy,no,no,yes,yes,no,not sure,yes,no
354,26,male,united states of america,California,no,yes,yes,often,Big,no,yes,yes,not sure,not sure,yes,not sure,not sure,not sure,no,yes,no,no,no,not sure,no
355,25,female,sweden,NA,no,yes,no,sometimes,Small,no,yes,yes,yes,yes,no,not sure,somewhat easy,no,no,yes,yes,no,no,no,no
356,31,male,united states of america,California,no,no,yes,sometimes,Medium,no,no,no,yes,no,not sure,yes,not sure,no,no,yes,no,no,no,no,no
357,33,male,united states of america,Indiana,no,yes,yes,sometimes,Small,no,yes,not sure,not sure,no,no,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
358,34,male,united states of america,Washington,no,yes,yes,sometimes,Big,no,yes,yes,yes,not sure,yes,yes,not sure,not sure,not sure,no,no,no,no,not sure,no
359,34,male,united states of america,Washington,no,no,yes,sometimes,Medium,yes,yes,no,no,no,no,not sure,somewhat easy,yes,yes,yes,yes,no,not sure,not sure,no
360,29,male,united states of america,Indiana,yes,no,no,NA,Small,yes,yes,no,yes,no,no,yes,very easy,no,no,yes,yes,not sure,not sure,yes,no
361,33,female,united states of america,Washington,no,no,no,NA,Small,no,yes,no,no,no,no,not sure,somewhat difficult,not sure,no,yes,yes,no,no,not sure,no
362,34,male,germany,NA,yes,yes,yes,rarely,Small,yes,yes,no,no,no,not sure,not sure,somewhat difficult,no,no,yes,yes,no,not sure,yes,no
363,26,male,united states of america,Oklahoma,yes,yes,yes,rarely,Medium,yes,no,no,no,no,not sure,no,not sure,not sure,no,yes,yes,no,yes,no,no
364,32,male,united states of america,Michigan,no,yes,yes,rarely,Big,no,no,yes,yes,yes,yes,yes,not sure,no,no,yes,yes,no,yes,yes,no
365,31,male,united states of america,Ohio,no,no,yes,often,Small,yes,yes,yes,yes,no,no,not sure,not sure,not sure,no,yes,no,no,no,no,no
366,28,male,united states of america,Georgia,no,yes,yes,sometimes,Big,no,yes,not sure,not sure,no,not sure,not sure,somewhat difficult,not sure,not sure,no,no,no,no,no,no
367,35,male,united states of america,California,no,yes,no,NA,Big,no,yes,yes,no,yes,yes,yes,very easy,no,no,yes,yes,no,no,not sure,no
368,36,male,united states of america,NA,no,yes,yes,often,Medium,no,yes,no,yes,no,no,yes,very easy,no,no,yes,yes,no,no,not sure,no
369,21,male,united states of america,Indiana,no,yes,yes,rarely,Medium,no,yes,yes,no,no,not sure,yes,not sure,no,no,yes,yes,not sure,not sure,not sure,no
370,21,male,united kingdom,NA,no,no,yes,sometimes,Small,no,no,not sure,not sure,no,no,no,very easy,yes,no,yes,no,no,not sure,no,no
371,22,female,united states of america,Washington,no,no,no,NA,Big,no,yes,yes,no,yes,yes,yes,somewhat easy,no,no,no,yes,no,no,yes,no
372,41,male,united states of america,Washington,no,yes,yes,often,Big,no,yes,yes,no,yes,yes,not sure,somewhat difficult,not sure,no,yes,yes,no,not sure,no,yes
373,55,male,united states of america,Pennsylvania,no,yes,yes,rarely,Big,no,yes,yes,yes,yes,yes,yes,very easy,no,no,yes,yes,no,no,yes,no
374,32,female,united states of america,Washington,no,no,yes,sometimes,Small,no,yes,yes,yes,yes,yes,yes,somewhat easy,not sure,no,yes,yes,no,not sure,yes,no
375,21,female,united states of america,California,no,yes,yes,rarely,Small,no,yes,not sure,not sure,not sure,no,not sure,somewhat easy,yes,no,yes,no,no,yes,not sure,no
376,45,male,united states of america,Massachusetts,no,no,yes,never,Small,yes,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,not sure,not sure,no
377,27,female,united states of america,Washington,no,no,yes,rarely,Big,no,yes,yes,yes,no,no,yes,not sure,yes,not sure,no,no,no,no,no,no
378,25,female,united states of america,Washington,no,yes,yes,sometimes,Small,yes,yes,not sure,no,no,no,not sure,not sure,not sure,no,yes,yes,no,no,yes,no
379,34,female,united states of america,New York,no,yes,yes,rarely,Big,no,no,yes,yes,yes,yes,yes,very difficult,not sure,not sure,yes,yes,no,no,yes,no
380,26,female,united states of america,California,no,yes,yes,never,Big,no,yes,yes,yes,no,yes,yes,not sure,not sure,no,no,no,no,no,not sure,no
381,41,male,canada,NA,no,no,yes,never,Medium,no,yes,yes,not sure,no,not sure,not sure,somewhat easy,no,no,yes,yes,no,no,not sure,no
382,27,male,united states of america,California,no,no,yes,rarely,Big,no,yes,yes,no,yes,yes,yes,not sure,no,no,yes,yes,no,not sure,yes,no
383,31,male,united states of america,Indiana,no,yes,yes,sometimes,Small,yes,yes,yes,no,no,no,not sure,not sure,no,no,yes,yes,no,no,not sure,no
384,25,male,germany,NA,no,yes,yes,often,Small,yes,yes,no,no,no,no,yes,somewhat easy,no,no,yes,yes,no,yes,no,no
385,26,male,united states of america,Nevada,no,no,yes,sometimes,Small,no,yes,not sure,no,no,no,not sure,not sure,yes,yes,yes,no,no,no,no,no
386,27,female,united states of america,Colorado,no,yes,yes,rarely,Big,yes,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,yes,no,no,not sure,no
387,42,male,new zealand,NA,no,no,no,never,Medium,no,yes,not sure,not sure,no,no,not sure,not sure,no,no,yes,yes,not sure,not sure,not sure,no
388,29,non-binary,united states of america,California,yes,yes,yes,sometimes,Small,yes,yes,yes,yes,no,no,not sure,very difficult,yes,no,yes,no,no,not sure,no,no
389,25,female,united states of america,California,no,no,yes,sometimes,Small,no,yes,not sure,not sure,no,no,not sure,somewhat difficult,yes,no,yes,no,no,not sure,not sure,no
390,33,female,sweden,NA,no,yes,yes,rarely,Big,no,yes,yes,yes,no,yes,yes,not sure,not sure,no,yes,no,no,yes,not sure,no
391,31,non-binary,zimbabwe,NA,yes,yes,yes,often,Small,no,yes,no,yes,no,no,no,very difficult,yes,yes,no,no,yes,no,no,yes
392,40,female,united states of america,Pennsylvania,no,yes,yes,rarely,Big,no,no,yes,no,not sure,not sure,not sure,somewhat easy,not sure,not sure,no,no,no,no,not sure,no
393,31,male,united states of america,South Carolina,no,no,no,never,Big,no,yes,not sure,no,no,not sure,not sure,somewhat easy,yes,no,yes,no,no,no,not sure,no
394,26,male,canada,NA,no,yes,yes,often,Small,yes,yes,not sure,no,not sure,not sure,not sure,very easy,no,no,yes,yes,no,no,yes,no
395,24,female,united states of america,Texas,no,yes,no,NA,Medium,no,no,no,no,no,no,no,very difficult,yes,not sure,no,no,no,not sure,no,yes
396,29,male,united states of america,Texas,no,no,no,never,Big,no,no,yes,not sure,no,not sure,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
397,48,male,united kingdom,NA,no,no,no,NA,Small,no,yes,not sure,no,no,no,not sure,not sure,not sure,not sure,no,no,no,no,no,no
398,35,male,united kingdom,NA,no,no,no,sometimes,Small,no,yes,no,no,no,no,not sure,very difficult,not sure,not sure,yes,yes,no,not sure,no,yes
399,32,female,united states of america,Alabama,no,no,no,never,Medium,no,yes,not sure,not sure,no,no,not sure,not sure,not sure,no,no,yes,no,not sure,not sure,no
400,29,male,canada,NA,no,no,yes,sometimes,Medium,no,yes,not sure,not sure,not sure,not sure,yes,somewhat easy,not sure,no,yes,yes,no,not sure,yes,no
401,26,male,united states of america,Oregon,no,yes,yes,often,Small,no,yes,yes,yes,no,no,not sure,somewhat difficult,not sure,no,yes,yes,no,no,no,no
402,28,male,united states of america,New Jersey,no,yes,yes,sometimes,Small,no,yes,yes,yes,no,no,not sure,not sure,not sure,no,yes,no,no,not sure,no,no
403,23,male,united states of america,California,no,no,no,NA,Big,no,yes,not sure,no,no,not sure,not sure,not sure,no,no,yes,yes,no,not sure,no,no
404,35,male,united states of america,California,no,yes,yes,sometimes,Medium,no,yes,yes,yes,no,no,not sure,very difficult,not sure,not sure,yes,yes,no,not sure,no,yes
405,29,male,germany,NA,no,yes,yes,sometimes,Small,no,yes,not sure,no,no,no,not sure,very easy,not sure,no,yes,yes,not sure,not sure,not sure,no
406,26,male,united states of america,California,no,yes,no,NA,Small,no,yes,yes,yes,no,yes,yes,very easy,no,no,yes,yes,not sure,not sure,no,no
407,33,male,united states of america,New Hampshire,no,yes,yes,never,Small,yes,yes,yes,yes,yes,yes,not sure,not sure,yes,not sure,yes,yes,no,no,yes,no
408,33,male,united states of america,California,no,no,no,NA,Big,yes,yes,not sure,no,not sure,not sure,not sure,not sure,yes,no,yes,no,no,not sure,yes,no
409,22,male,brazil,NA,yes,no,no,never,Small,yes,yes,not sure,no,no,no,not sure,somewhat easy,no,no,yes,yes,not sure,no,not sure,no
410,30,female,spain,NA,no,yes,no,NA,Medium,no,yes,no,no,no,no,not sure,not sure,yes,not sure,no,no,no,no,not sure,no
411,33,male,united states of america,Ohio,no,yes,yes,often,Big,yes,yes,yes,yes,no,no,not sure,somewhat easy,yes,no,no,no,no,no,no,no
412,31,female,united states of america,Ohio,no,yes,yes,rarely,Big,no,no,not sure,not sure,no,not sure,not sure,very difficult,yes,not sure,no,no,no,not sure,no,no
413,21,male,united states of america,Massachusetts,no,yes,no,never,Big,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,yes,no,not sure,not sure,yes
414,31,non-binary,united kingdom,NA,no,yes,yes,sometimes,Big,no,yes,not sure,no,no,no,not sure,not sure,yes,not sure,no,no,no,yes,yes,no
415,26,female,united states of america,Oklahoma,no,no,yes,sometimes,Medium,yes,yes,not sure,not sure,not sure,not sure,not sure,somewhat difficult,no,no,yes,yes,no,no,yes,no
416,30,male,united states of america,California,no,yes,no,often,Small,no,yes,not sure,no,no,not sure,not sure,somewhat easy,not sure,no,yes,yes,no,no,not sure,no
417,30,non-binary,germany,NA,no,yes,yes,sometimes,Medium,no,yes,not sure,not sure,no,no,not sure,somewhat difficult,no,no,yes,yes,not sure,not sure,no,no
418,23,male,india,NA,no,no,no,NA,Small,no,yes,no,no,no,no,not sure,not sure,no,no,yes,yes,not sure,not sure,no,no
419,34,male,finland,NA,no,no,no,never,Small,no,yes,no,no,no,no,not sure,somewhat easy,no,no,yes,yes,no,not sure,not sure,no
420,55,male,united states of america,Idaho,no,yes,yes,sometimes,Small,yes,yes,no,yes,no,not sure,not sure,not sure,yes,not sure,no,no,no,no,no,yes
421,28,male,germany,NA,no,yes,yes,rarely,Small,yes,yes,yes,no,no,no,yes,very easy,no,no,yes,yes,no,no,yes,no
422,26,male,uruguay,NA,no,no,no,NA,Small,yes,yes,not sure,no,not sure,no,not sure,not sure,no,no,yes,no,no,yes,not sure,no
423,28,male,new zealand,NA,no,yes,yes,sometimes,Small,yes,yes,yes,yes,yes,no,not sure,very easy,no,no,yes,yes,yes,yes,yes,no
424,32,male,united kingdom,NA,no,yes,yes,sometimes,Small,no,yes,no,no,no,not sure,not sure,somewhat easy,no,no,yes,yes,no,no,not sure,no
425,28,female,united states of america,New York,no,no,yes,rarely,Big,no,no,yes,yes,no,not sure,not sure,not sure,not sure,no,no,no,no,no,not sure,no
426,21,male,united states of america,California,no,no,no,sometimes,Small,no,no,not sure,not sure,no,yes,yes,not sure,no,no,yes,yes,not sure,not sure,yes,no
427,24,male,united states of america,Texas,no,yes,yes,sometimes,Medium,no,yes,no,yes,no,no,not sure,somewhat difficult,yes,no,yes,yes,no,not sure,no,yes
428,26,female,united states of america,Maryland,no,no,no,NA,Big,no,no,yes,not sure,yes,not sure,not sure,not sure,not sure,no,yes,no,no,no,not sure,no
429,23,male,united states of america,Indiana,no,no,no,NA,Big,no,no,yes,no,no,no,not sure,not sure,no,no,yes,no,no,yes,not sure,no
430,24,female,united states of america,Oregon,no,no,no,NA,Big,no,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,yes,yes,yes,yes,yes,no
431,28,male,canada,NA,yes,no,no,never,Medium,yes,yes,not sure,no,no,no,not sure,somewhat easy,not sure,no,yes,yes,no,no,yes,no
432,24,female,united states of america,New York,no,yes,yes,rarely,Small,no,yes,no,no,no,no,not sure,very easy,yes,no,no,yes,no,yes,yes,no
433,33,male,united states of america,Mississippi,yes,no,yes,often,Small,yes,yes,no,no,no,no,yes,somewhat easy,yes,not sure,yes,yes,yes,yes,not sure,no
434,34,male,united states of america,New Jersey,no,no,no,sometimes,Small,no,yes,not sure,no,no,no,not sure,not sure,not sure,no,yes,yes,no,not sure,not sure,no
435,27,female,united states of america,California,no,no,yes,sometimes,Small,no,yes,not sure,not sure,no,no,not sure,somewhat difficult,not sure,not sure,yes,yes,no,no,not sure,no
436,28,male,united states of america,Tennessee,no,no,no,never,Small,no,yes,not sure,no,no,not sure,not sure,not sure,no,no,yes,yes,no,no,not sure,no
437,26,male,united states of america,Washington,no,no,no,NA,Big,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,yes,no,no,not sure,yes
438,20,male,australia,NA,no,no,no,NA,Medium,yes,yes,not sure,not sure,not sure,not sure,yes,very easy,no,no,yes,yes,no,no,not sure,no
439,23,female,united states of america,Massachusetts,no,no,yes,sometimes,Small,no,yes,yes,yes,no,not sure,not sure,not sure,not sure,no,yes,no,no,not sure,not sure,no
440,29,male,united states of america,Pennsylvania,no,yes,yes,rarely,Small,yes,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,yes,yes,not sure,not sure,yes,no
441,26,male,united kingdom,NA,no,yes,no,sometimes,Small,no,yes,no,no,no,no,not sure,not sure,not sure,not sure,no,no,no,not sure,no,no
442,36,male,united states of america,Kentucky,no,no,no,rarely,Big,yes,yes,yes,no,yes,not sure,not sure,somewhat easy,not sure,no,no,no,no,no,not sure,no
443,41,male,united states of america,Pennsylvania,no,no,yes,sometimes,Big,no,yes,yes,yes,yes,yes,yes,not sure,not sure,no,yes,yes,not sure,yes,yes,yes
444,33,female,united states of america,Massachusetts,no,no,no,NA,Medium,yes,yes,yes,no,not sure,no,not sure,not sure,no,no,yes,yes,no,no,yes,no
445,23,male,canada,NA,no,yes,yes,sometimes,Small,no,yes,yes,yes,no,no,yes,very easy,no,no,yes,yes,no,no,yes,no
446,39,male,united states of america,California,no,yes,no,often,Big,no,yes,yes,no,no,not sure,not sure,not sure,yes,no,yes,yes,no,not sure,no,yes
447,34,male,united states of america,Vermont,no,yes,no,NA,Big,no,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,yes,yes,no,not sure,not sure,yes
448,26,female,united states of america,California,no,no,yes,sometimes,Medium,no,yes,yes,yes,no,no,not sure,somewhat difficult,yes,not sure,yes,yes,no,no,no,yes
449,24,male,united states of america,Arizona,no,no,yes,rarely,Small,no,yes,yes,yes,yes,no,not sure,not sure,no,no,yes,yes,no,no,not sure,no
450,37,male,canada,NA,no,yes,yes,rarely,Big,no,no,yes,yes,yes,yes,not sure,not sure,not sure,not sure,yes,yes,no,no,not sure,no
451,43,male,united states of america,Massachusetts,yes,yes,yes,often,Small,yes,yes,yes,yes,no,no,yes,very easy,no,no,yes,yes,not sure,not sure,yes,no
452,40,non-binary,united states of america,Virginia,no,yes,no,never,Big,no,yes,yes,yes,yes,not sure,yes,not sure,yes,not sure,no,yes,no,not sure,yes,no
453,30,male,united states of america,Washington,no,yes,yes,often,Big,no,yes,yes,yes,yes,no,not sure,very difficult,yes,no,yes,no,no,no,no,yes
454,34,male,united states of america,California,no,no,yes,sometimes,Small,no,yes,not sure,not sure,no,no,not sure,not sure,yes,yes,yes,no,no,no,not sure,no
455,27,male,united states of america,Oregon,no,yes,yes,sometimes,Medium,no,yes,not sure,not sure,no,not sure,not sure,not sure,yes,no,no,no,no,yes,not sure,no
456,36,male,united states of america,Michigan,no,no,no,sometimes,Big,no,yes,not sure,no,no,no,yes,somewhat easy,no,no,yes,yes,not sure,yes,not sure,no
457,27,male,brazil,NA,no,no,no,rarely,Small,no,yes,no,yes,no,no,not sure,somewhat easy,not sure,no,yes,yes,no,not sure,no,no
458,35,male,netherlands,NA,no,yes,no,never,Medium,no,yes,yes,no,no,no,yes,not sure,yes,no,no,no,no,not sure,not sure,no
459,32,male,united kingdom,NA,no,no,no,never,Small,no,yes,no,no,no,no,not sure,not sure,not sure,no,yes,no,no,yes,yes,no
460,37,male,united states of america,Oregon,no,no,no,NA,Medium,no,yes,yes,no,no,no,not sure,not sure,not sure,not sure,yes,yes,no,no,not sure,no
461,29,male,united kingdom,NA,no,no,no,NA,Small,no,yes,not sure,no,not sure,not sure,not sure,not sure,no,no,yes,yes,not sure,not sure,yes,no
462,33,female,united states of america,California,no,no,no,never,Medium,no,yes,yes,not sure,yes,yes,not sure,very easy,not sure,no,yes,yes,no,no,yes,no
463,28,male,united states of america,Utah,no,no,no,sometimes,Small,yes,yes,no,yes,no,no,not sure,somewhat easy,yes,not sure,yes,no,no,no,not sure,no
464,26,female,united states of america,California,no,yes,no,never,Small,no,yes,not sure,not sure,no,no,not sure,somewhat difficult,not sure,not sure,yes,no,no,not sure,no,no
465,27,male,united states of america,Texas,no,yes,yes,sometimes,Small,yes,yes,not sure,no,yes,not sure,not sure,somewhat easy,yes,no,yes,yes,no,not sure,yes,no
466,38,male,united kingdom,NA,yes,no,yes,sometimes,Small,yes,yes,no,no,no,no,yes,somewhat easy,not sure,not sure,yes,yes,no,not sure,yes,no
467,57,male,united states of america,California,no,yes,yes,rarely,Big,no,yes,yes,yes,no,no,not sure,not sure,not sure,no,yes,yes,no,not sure,no,no
468,28,male,united kingdom,NA,no,no,yes,sometimes,Big,no,yes,no,no,no,no,no,very difficult,yes,not sure,no,yes,no,not sure,no,no
469,26,male,france,NA,no,no,no,never,Small,no,yes,no,yes,no,no,not sure,not sure,not sure,no,yes,yes,not sure,not sure,no,no
470,42,female,netherlands,NA,no,no,yes,rarely,Medium,yes,yes,yes,yes,no,no,yes,not sure,yes,no,yes,no,no,not sure,not sure,no
471,31,male,united states of america,Oregon,no,no,yes,sometimes,Medium,yes,yes,yes,yes,yes,yes,yes,very easy,no,no,yes,yes,no,no,yes,no
472,58,male,united states of america,California,no,no,yes,rarely,Big,no,yes,yes,yes,yes,yes,yes,somewhat easy,not sure,no,yes,yes,no,yes,yes,no
473,29,male,united states of america,Ohio,no,no,no,sometimes,Small,no,yes,not sure,no,no,no,not sure,very difficult,yes,no,no,no,no,not sure,no,no
474,39,female,united kingdom,NA,no,no,yes,sometimes,Big,no,yes,yes,yes,no,yes,not sure,not sure,yes,no,yes,yes,no,not sure,no,yes
475,34,male,united states of america,Ohio,no,no,no,sometimes,Small,yes,yes,not sure,no,no,no,not sure,very difficult,not sure,no,yes,yes,no,not sure,not sure,no
476,57,male,united states of america,California,no,no,yes,sometimes,Big,no,yes,yes,not sure,yes,yes,not sure,not sure,not sure,not sure,no,no,no,not sure,not sure,no
477,27,male,germany,NA,no,yes,yes,sometimes,Small,no,yes,no,not sure,no,no,not sure,somewhat difficult,yes,not sure,yes,no,no,no,no,yes
478,23,male,germany,NA,yes,yes,yes,often,Small,yes,yes,not sure,no,not sure,not sure,not sure,not sure,no,not sure,yes,yes,not sure,yes,not sure,no
479,18,male,finland,NA,no,no,no,NA,Medium,yes,no,not sure,no,no,not sure,not sure,very easy,yes,no,no,no,no,not sure,not sure,no
480,30,female,united states of america,New York,no,no,no,NA,Medium,no,yes,not sure,not sure,no,no,not sure,not sure,not sure,no,yes,yes,no,not sure,not sure,no
481,23,male,united states of america,Virginia,no,no,no,never,Small,no,no,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,yes,not sure,yes,yes,no
482,43,male,united states of america,California,no,no,yes,sometimes,Big,no,yes,yes,yes,yes,yes,yes,somewhat easy,yes,not sure,no,no,no,yes,not sure,no
483,18,female,united kingdom,NA,no,yes,yes,sometimes,Small,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,yes,yes,not sure,not sure,not sure,no
484,29,male,united states of america,Illinois,no,no,yes,rarely,Small,no,yes,yes,yes,no,no,not sure,not sure,not sure,no,yes,no,no,not sure,not sure,no
485,48,male,united states of america,Texas,no,no,no,never,Small,no,yes,not sure,no,no,not sure,not sure,not sure,not sure,no,no,no,no,not sure,not sure,no
486,43,male,germany,NA,no,no,yes,sometimes,Small,no,no,no,yes,not sure,no,not sure,somewhat easy,not sure,no,yes,yes,no,yes,no,yes
487,28,female,united states of america,New York,no,yes,yes,sometimes,Small,no,yes,not sure,not sure,no,no,not sure,not sure,yes,not sure,yes,no,no,not sure,not sure,no
488,30,male,united states of america,California,yes,yes,yes,often,Small,yes,yes,no,yes,no,no,yes,very easy,no,no,yes,yes,no,no,yes,no
489,26,male,israel,Maryland,no,no,no,sometimes,Small,no,yes,no,no,no,no,yes,very easy,not sure,no,yes,yes,no,not sure,yes,no
490,33,male,italy,NA,no,no,no,never,Small,no,no,no,no,no,no,not sure,not sure,not sure,not sure,yes,yes,no,no,no,no
491,31,male,united states of america,California,no,no,no,NA,Big,no,yes,yes,not sure,not sure,not sure,yes,not sure,no,no,no,yes,no,no,yes,no
492,30,male,united states of america,Pennsylvania,no,no,no,rarely,Medium,no,no,not sure,not sure,no,no,not sure,not sure,no,no,yes,yes,no,no,not sure,no
493,27,male,israel,NA,no,no,no,NA,Small,no,yes,no,no,no,no,not sure,somewhat difficult,yes,no,yes,no,no,not sure,no,yes
494,24,female,united states of america,California,yes,yes,yes,sometimes,Small,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,yes,no,no,not sure,yes
495,25,male,united states of america,Washington,no,no,no,NA,Small,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no,yes,no,no,no,not sure,no
496,23,female,united states of america,New York,no,yes,yes,often,Big,no,yes,yes,not sure,not sure,no,not sure,not sure,not sure,no,yes,yes,no,no,yes,yes
